type,severity,message,project_name,project_code,ministry,sector,state,risk_score
COST_ESCALATION,CRITICAL,Cost escalated by 79.0% from original,Rajiv Bhima Lift Irrigation Scheme,,"Department of Water Resources, River Development & GR",Water Resources,Telangana,54.2
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Rajiv Bhima Lift Irrigation Scheme,,"Department of Water Resources, River Development & GR",Water Resources,Telangana,54.2
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Upgradatiobn and Rehabilitation of Section of NH 361 F from Parli 00/000 to,,Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,19.7
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Widening to Two with Paved shoulders from Km 59.500 to Km 132.033 of,,Ministry of Road Transport & Highways,Roads & Highways,Telangana,18.3
COST_ESCALATION,WARNING,Cost escalated by 30.1% from original,Khammam-Devarapalle Pkg V [4L Access Controlled Greenfield from,,Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,44.9
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,42.8
COST_ESCALATION,WARNING,Cost escalated by 26.1% from original,Kodinar - Veraval Package VI from km. 221.610 to km. 263.00 of NH-8E & km.,,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,51.0
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Kodinar - Veraval Package VI from km. 221.610 to km. 263.00 of NH-8E & km.,,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,51.0
COST_ESCALATION,WARNING,Cost escalated by 27.3% from original,Kagvadar - Una Package-IV,,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,47.8
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Kagvadar - Una Package-IV,,Ministry of Road Transport & Highways,Roads & Highways,Gujarat,47.8
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Dwarka Expressway Pkg-III Delhi/HR Border to Start of RoB Gurugram,,Ministry of Road Transport & Highways,Roads & Highways,"Multi-States (Delhi,
Haryana)",41.3
COST_ESCALATION,WARNING,Cost escalated by 25.3% from original,4L Poanta SahebMednipur from Km. 435.65 to km. 458.65 of NH-07Pkg-1,,Ministry of Road Transport & Highways,Roads & Highways,"Multi-States
(Uttarakhand, Himachal
Pradesh)",43.6
COST_ESCALATION,CRITICAL,Cost escalated by 68.7% from original,Aligarh-Kanpur Pkg I [Aligarh-Bhadwas],,Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,57.8
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Aligarh-Kanpur Pkg I [Aligarh-Bhadwas],,Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,57.8
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Construction of Balance work of 2-Lane with PS of Joram-Koloriang Road NH-,,Ministry of Road Transport & Highways,Roads & Highways,Arunachal Pradesh,24.8
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Rehabilitation and upgradation to 2 Lane with Paved shoulder of Economic,,Ministry of Road Transport & Highways,Roads & Highways,Mizoram,27.4
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Rehabilitation and Up gradation to 2-lane with paved shoulder of Keifang Section,,Ministry of Road Transport & Highways,Roads & Highways,Mizoram,23.3
COST_ESCALATION,WARNING,Cost escalated by 47.2% from original,Guwahati Airport New Integrated Terminal Building Construction Project,706724.0,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,69.5
PF_GAP,WARNING,Physical-Financial gap of -56.5%,Guwahati Airport New Integrated Terminal Building Construction Project,706724.0,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,69.5
ELEVATED_RISK_ML,WARNING,ML risk score: 70/100,Guwahati Airport New Integrated Terminal Building Construction Project,706724.0,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,69.5
TIME_OVERRUN,WARNING,Delayed by 15 months,Guwahati Airport New Integrated Terminal Building Construction Project,706724.0,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,69.5
TIME_OVERRUN,WARNING,Delayed by 29 months,C/o NITB Imphal Airport,706718.0,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Manipur,44.2
EXPENDITURE_LAG,CRITICAL,Only 27% budget spent but 110% time elapsed,Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c,612793.0,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Sikkim,42.1
PF_GAP,WARNING,Physical-Financial gap of -31.5%,TIRAP OCP,615821.0,Ministry of Coal,Coal,Assam,11.8
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Construction of Permanent Campus of National Institute of Technology Arunachal,612898.0,Department of Higher Education,Education,Arunachal Pradesh,15.2
PF_GAP,WARNING,Physical-Financial gap of -75.2%,Tezpur University Projects,606112.0,Department of Higher Education,Education,Assam,51.9
TIME_OVERRUN,WARNING,Delayed by 25 months,Tezpur University Projects,606112.0,Department of Higher Education,Education,Assam,51.9
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Tezpur University Projects,606112.0,Department of Higher Education,Education,Assam,51.9
PF_GAP,WARNING,Physical-Financial gap of 21.1%,Construction and Developement of National Institute of Technology Meghalaya,612885.0,Department of Higher Education,Education,Meghalaya,38.2
TIME_OVERRUN,CRITICAL,Delayed by 55 months,Construction and Developement of National Institute of Technology Meghalaya,612885.0,Department of Higher Education,Education,Meghalaya,38.2
EXPENDITURE_LAG,CRITICAL,Only 35% budget spent but 79% time elapsed,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",612876.0,Department of Higher Education,Education,Mizoram,34.0
PF_GAP,WARNING,Physical-Financial gap of -31.3%,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",612876.0,Department of Higher Education,Education,Mizoram,34.0
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",612876.0,Department of Higher Education,Education,Mizoram,34.0
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Establishment of NIT Nagaland,613013.0,Department of Higher Education,Education,Nagaland,12.5
TIME_OVERRUN,WARNING,Delayed by 21 months,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South",609736.0,Department of Higher Education,Education,Sikkim,56.3
PF_GAP,WARNING,Physical-Financial gap of 33.8%,"National Sports University [NSU], Imphal [Manipur]",400081.0,Department of Sports,Education,Manipur,50.3
TIME_OVERRUN,WARNING,Delayed by 24 months,"National Sports University [NSU], Imphal [Manipur]",400081.0,Department of Sports,Education,Manipur,50.3
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,"National Sports University [NSU], Imphal [Manipur]",400081.0,Department of Sports,Education,Manipur,50.3
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Kalai-II Hydro Electric Project [1200 MW],619311.0,Ministry of Power,Electricity Generation,Arunachal Pradesh,21.7
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,700 MW Tato-II HE Project,611716.0,Ministry of Power,Electricity Generation,Arunachal Pradesh,21.7
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,186 MW Tato-I H E Project,611699.0,Ministry of Power,Electricity Generation,Arunachal Pradesh,21.3
MULTI_MONTH_STAGNATION,CRITICAL,No progress improvement over multiple months,Dibang Multipurpose Project,602182.0,Ministry of Power,Electricity Generation,Arunachal Pradesh,18.3
