feature,mean_shap_value
financial_progress_pct,2.1446185
revised_cost_cr,1.4582022
expenditure_ratio,1.3604274
original_cost_cr,0.907912
project_age_months,0.5583089
physical_progress_pct,0.39393577
cumulative_expenditure_cr,0.30204532
physical_financial_gap,0.29148567
ministry_encoded,0.23954472
sector_encoded,0.22025311
state_encoded,0.21614051
time_elapsed_ratio,0.17527586
expenditure_acceleration,0.13660772
progress_velocity,0.11354529
expenditure_ratio_trend,0.08904957
expenditure_velocity,0.08000275
planned_duration_months,0.07901762
cost_overrun_trend,0.067322865
progress_monthly_avg,0.021785846
months_tracked,0.019841595
progress_stagnant,0.016610391
expenditure_monthly_avg,0.009918898
cost_revision_trend,0.0016630443
cost_revised_up,0.0
